"Season","Error","Fall","Spring","Summer","Winter","SeasonN","Mass"
"Fall",-0.0560475646552213,1,0,0,0,1,4.54395243534478
"Fall",-0.023017748948328,1,0,0,0,1,4.57698225105167
"Fall",0.155870831414912,1,0,0,0,1,4.75587083141491
"Fall",0.0070508391424576,1,0,0,0,1,4.60705083914246
"Fall",0.0129287735160946,1,0,0,0,1,4.61292877351609
"Fall",0.171506498688328,1,0,0,0,1,4.77150649868833
"Fall",0.0460916205989202,1,0,0,0,1,4.64609162059892
"Fall",-0.126506123460653,1,0,0,0,1,4.47349387653935
"Fall",-0.0686852851893526,1,0,0,0,1,4.53131471481065
"Fall",-0.0445661970099958,1,0,0,0,1,4.55543380299
"Fall",0.122408179743946,1,0,0,0,1,4.72240817974395
"Fall",0.0359813827057364,1,0,0,0,1,4.63598138270574
"Fall",0.0400771450594052,1,0,0,0,1,4.6400771450594
"Fall",0.011068271594512,1,0,0,0,1,4.61106827159451
"Fall",-0.0555841134754075,1,0,0,0,1,4.54441588652459
"Fall",0.178691313680308,1,0,0,0,1,4.77869131368031
"Fall",0.0497850478229239,1,0,0,0,1,4.64978504782292
"Fall",-0.196661715662964,1,0,0,0,1,4.40333828433704
"Fall",0.0701355901563686,1,0,0,0,1,4.67013559015637
"Fall",-0.0472791407727934,1,0,0,0,1,4.55272085922721
"Spring",-0.106782370598685,0,1,0,0,3,3.89321762940131
"Spring",-0.0217974914658295,0,1,0,0,3,3.97820250853417
"Spring",-0.102600444830724,0,1,0,0,3,3.89739955516928
"Spring",-0.072889122929114,0,1,0,0,3,3.92711087707089
"Spring",-0.0625039267849257,0,1,0,0,3,3.93749607321507
"Spring",-0.168669331074241,0,1,0,0,3,3.83133066892576
"Spring",0.0837787044494525,0,1,0,0,3,4.08377870444945
"Spring",0.0153373117836515,0,1,0,0,3,4.01533731178365
"Spring",-0.113813693701195,0,1,0,0,3,3.8861863062988
"Spring",0.125381492106993,0,1,0,0,3,4.12538149210699
"Spring",0.0426464221476814,0,1,0,0,3,4.04264642214768
"Spring",-0.0295071482992271,0,1,0,0,3,3.97049285170077
"Spring",0.0895125661045022,0,1,0,0,3,4.0895125661045
"Spring",0.0878133487533042,0,1,0,0,3,4.0878133487533
"Spring",0.0821581081637487,0,1,0,0,3,4.08215810816375
"Spring",0.0688640254100091,0,1,0,0,3,4.06886402541001
"Spring",0.0553917653537589,0,1,0,0,3,4.05539176535376
"Spring",-0.00619117105767217,0,1,0,0,3,3.99380882894233
"Spring",-0.0305962663739917,0,1,0,0,3,3.96940373362601
"Spring",-0.0380471001012383,0,1,0,0,3,3.96195289989876
"Summer",-0.0694706978920513,0,0,1,0,4,3.93052930210795
"Summer",-0.0207917278019599,0,0,1,0,4,3.97920827219804
"Summer",-0.126539635156826,0,0,1,0,4,3.87346036484317
"Summer",0.216895596533851,0,0,1,0,4,4.21689559653385
"Summer",0.120796199830499,0,0,1,0,4,4.1207961998305
"Summer",-0.112310858320335,0,0,1,0,4,3.88768914167966
"Summer",-0.0402884835299076,0,0,1,0,4,3.95971151647009
"Summer",-0.0466655353623219,0,0,1,0,4,3.95333446463768
"Summer",0.0779965118336318,0,0,1,0,4,4.07799651183363
"Summer",-0.00833690664718293,0,0,1,0,4,3.99166309335282
"Summer",0.0253318513994755,0,0,1,0,4,4.02533185139947
"Summer",-0.0028546755348703,0,0,1,0,4,3.99714532446513
"Summer",-0.00428704572913161,0,0,1,0,4,3.99571295427087
"Summer",0.136860228401446,0,0,1,0,4,4.13686022840145
"Summer",-0.0225770985659268,0,0,1,0,4,3.97742290143407
"Summer",0.151647060442954,0,0,1,0,4,4.15164706044295
"Summer",-0.154875280423022,0,0,1,0,4,3.84512471957698
"Summer",0.0584613749636069,0,0,1,0,4,4.05846137496361
"Summer",0.0123854243844614,0,0,1,0,4,4.01238542438446
"Summer",0.0215941568743973,0,0,1,0,4,4.0215941568744
"Winter",0.0379639482759882,0,0,0,1,2,4.58796394827599
"Winter",-0.0502323453109302,0,0,0,1,2,4.49976765468907
"Winter",-0.033320738366942,0,0,0,1,2,4.51667926163306
"Winter",-0.101857538310709,0,0,0,1,2,4.44814246168929
"Winter",-0.107179122647558,0,0,0,1,2,4.44282087735244
"Winter",0.0303528641404258,0,0,0,1,2,4.58035286414043
"Winter",0.0448209778629426,0,0,0,1,2,4.59482097786294
"Winter",0.00530042267305041,0,0,0,1,2,4.55530042267305
"Winter",0.0922267467879738,0,0,0,1,2,4.64222674678797
"Winter",0.205008468562714,0,0,0,1,2,4.75500846856271
"Winter",-0.0491031166056535,0,0,0,1,2,4.50089688339435
"Winter",-0.230916887564081,0,0,0,1,2,4.31908311243592
"Winter",0.100573852446226,0,0,0,1,2,4.65057385244623
"Winter",-0.0709200762582393,0,0,0,1,2,4.47907992374176
"Winter",-0.0688008616467358,0,0,0,1,2,4.48119913835326
"Winter",0.10255713696967,0,0,0,1,2,4.65255713696967
"Winter",-0.0284773007051009,0,0,0,1,2,4.5215226992949
"Winter",-0.122071771225454,0,0,0,1,2,4.42792822877455
"Winter",0.018130347974915,0,0,0,1,2,4.56813034797491
"Winter",-0.0138891362439045,0,0,0,1,2,4.5361108637561
